The Bose-Einstein Condensate (BEC) problem:
The linear Hamiltonian is the harmonic oscillator Hamiltonian:
H0 = P^2/2 + X^2/2
when P is the momentum operator (i*d/dx), and P^2 is equivalent to:
-d^2/dx^2
The non-linear Hamiltonian is:
Vnl = conj(u)*u
when u is the state vector.
The initial state is the ground state, given an initial momentum:
exp(1i*8*x)*(ground state vector)
The ground state is given by an iterative process.

The RK4 data:

  time steps          matvecs             Relative L2 Error
  7.0000000e+002	  2.8000000e+003	  2.4120899e-001	
  8.8100000e+002	  3.5240000e+003	  1.0150647e-001	
  1.1090000e+003	  4.4360000e+003	  4.0538998e-002	
  1.3970000e+003	  5.5880000e+003	  1.5889627e-002	
  1.7580000e+003	  7.0320000e+003	  6.2365346e-003	
  2.2140000e+003	  8.8560000e+003	  2.4431918e-003	
  2.7870000e+003	  1.1148000e+004	  9.6106784e-004	
  3.5080000e+003	  1.4032000e+004	  3.7902336e-004	
  4.4170000e+003	  1.7668000e+004	  1.4956718e-004	
  5.5600000e+003	  2.2240000e+004	  5.9182775e-005	
  7.0000000e+003	  2.8000000e+004	  2.3432652e-005	
  8.8120000e+003	  3.5248000e+004	  9.2917472e-006	
  1.1094000e+004	  4.4376000e+004	  3.6863271e-006	
  1.3967000e+004	  5.5868000e+004	  1.4634604e-006	
  1.7583000e+004	  7.0332000e+004	  5.8143979e-007	
  2.2136000e+004	  8.8544000e+004	  2.3107397e-007	
  2.7868000e+004	  1.1147200e+005	  9.1863899e-008	
  3.5083000e+004	  1.4033200e+005	  3.6535982e-008	
  4.4167000e+004	  1.7666800e+005	  1.4532872e-008	
  5.5603000e+004	  2.2241200e+005	  5.7817791e-009	


The new algorithm data:

for m = 5, k = 12:

  time steps          matvecs             Relative L2 Error
  1.0000000e+002	  1.6320000e+003	  1.0417517e-001	
  1.2600000e+002	  2.0480000e+003	  4.7761816e-003	
  1.5800000e+002	  2.5600000e+003	  1.4618911e-004	
  2.0000000e+002	  3.2320000e+003	  1.0382293e-004	
  2.5100000e+002	  4.0480000e+003	  2.7213549e-005	
  3.1600000e+002	  5.0880000e+003	  6.1924718e-006	
  3.9800000e+002	  6.4000000e+003	  1.3904198e-006	
  5.0100000e+002	  8.0480000e+003	  3.1783126e-007	
  6.3100000e+002	  1.0128000e+004	  7.3831570e-008	
  7.9400000e+002	  1.2736000e+004	  1.7576322e-008	
  1.0000000e+003	  1.6032000e+004	  4.2270143e-009	
  1.2590000e+003	  2.0176000e+004	  1.0313677e-009	
  1.5850000e+003	  2.5392000e+004	  2.5400955e-010	
  1.9950000e+003	  3.1952000e+004	  6.3033814e-011	
  2.5120000e+003	  4.0224000e+004	  1.5688017e-011	
  3.1620000e+003	  5.0624000e+004	  3.9244454e-012	
  3.9810000e+003	  6.3728000e+004	  1.0259013e-012	
  5.0120000e+003	  8.0224000e+004	  2.9819501e-013	

for m = 5, k = 9:

  time steps          matvecs             Relative L2 Error
  1.4000000e+002	  1.8460000e+003	  1.4829696e-002	
  1.7600000e+002	  2.3140000e+003	  9.1230516e-004	
  2.2200000e+002	  2.9120000e+003	  3.9896565e-005	
  2.7900000e+002	  3.6530000e+003	  1.0502522e-005	
  3.5200000e+002	  4.6020000e+003	  2.9611703e-006	
  4.4300000e+002	  5.7850000e+003	  6.9706107e-007	
  5.5700000e+002	  7.2670000e+003	  1.6234946e-007	
  7.0200000e+002	  9.1520000e+003	  3.7865633e-008	
  8.8300000e+002	  1.1505000e+004	  9.1026310e-009	
  1.1120000e+003	  1.4482000e+004	  2.2034187e-009	
  1.4000000e+003	  1.8226000e+004	  5.4007394e-010	
  1.7620000e+003	  2.2932000e+004	  1.3368093e-010	
  2.2190000e+003	  2.8873000e+004	  3.3151452e-011	
  2.7930000e+003	  3.6335000e+004	  8.2923838e-012	
  3.5170000e+003	  4.5747000e+004	  2.0970154e-012	
  4.4270000e+003	  5.7577000e+004	  5.7212660e-013	

for m = 7, k = 12:

  time steps         matvecs            Relative L2 Error
  1.1000000e+002	  2.0160000e+003	  7.5592382e-003	
  1.3800000e+002	  2.5200000e+003	  3.2077626e-004	
  1.7400000e+002	  3.1680000e+003	  4.0261095e-005	
  2.1900000e+002	  3.9780000e+003	  9.9044256e-006	
  2.7600000e+002	  5.0040000e+003	  1.5810204e-006	
  3.4800000e+002	  6.3000000e+003	  2.3324750e-007	
  4.3800000e+002	  7.9200000e+003	  3.5184448e-008	
  5.5100000e+002	  9.9540000e+003	  5.4227186e-009	
  6.9400000e+002	  1.2528000e+004	  8.3739787e-010	
  8.7400000e+002	  1.5768000e+004	  1.3037847e-010	
  1.1000000e+003	  1.9836000e+004	  2.0491699e-011	
  1.3850000e+003	  2.4966000e+004	  3.1999818e-012	
  1.7430000e+003	  3.1410000e+004	  4.9955974e-013	

for m = 9, k = 12:

  time steps          matvecs             Relative L2 Error
  1.3000000e+002	  2.6400000e+003	  3.1528443e-004	
  1.6400000e+002	  3.3200000e+003	  6.2790890e-006	
  2.0600000e+002	  4.1600000e+003	  1.6027252e-006	
  2.5900000e+002	  5.2200000e+003	  2.1455278e-007	
  3.2700000e+002	  6.5800000e+003	  2.1054850e-008	
  4.1100000e+002	  8.2600000e+003	  2.0804853e-009	
  5.1800000e+002	  1.0400000e+004	  2.0239140e-010	
  6.5200000e+002	  1.3080000e+004	  2.0146849e-011	
  8.2000000e+002	  1.6440000e+004	  2.0638875e-012	
  1.0330000e+003	  2.0700000e+004	  2.6443925e-013	

for m = 9, k = 9:

  time steps          matvecs             Relative L2 Error
  1.4000000e+002	  2.4140000e+003	  9.1831427e-004	
  1.7600000e+002	  3.0260000e+003	  2.1568995e-005	
  2.2200000e+002	  3.8080000e+003	  4.6048591e-007	
  2.7900000e+002	  4.7770000e+003	  9.5690935e-008	
  3.5200000e+002	  6.0180000e+003	  9.9057435e-009	
  4.4300000e+002	  7.5650000e+003	  9.7619567e-010	
  5.5700000e+002	  9.5030000e+003	  9.7667268e-011	
  7.0200000e+002	  1.1968000e+004	  9.6276639e-012	
  8.8300000e+002	  1.5045000e+004	  9.9422220e-013	
  1.1120000e+003	  1.8938000e+004	  1.9050666e-013	
